,session_date,prev_rdr_high,prev_rdr_low,pre_adr_high,pre_adr_low,adr_high,adr_low,adr_transition_high,adr_transition_low,odr_high,odr_low,odr_transition_high,odr_transition_low,rdr_high,rdr_low,prev_rdr_high_touch,prev_rdr_low_touch,pre_adr_high_touch,pre_adr_low_touch,adr_high_touch,adr_low_touch,adr_transition_high_touch,adr_transition_low_touch,odr_high_touch,odr_low_touch,odr_transition_high_touch,odr_transition_low_touch,prev_rdr_high_touch_time_bucket,prev_rdr_low_touch_time_bucket,pre_adr_high_touch_time_bucket,pre_adr_low_touch_time_bucket,adr_high_touch_time_bucket,adr_low_touch_time_bucket,adr_transition_high_touch_time_bucket,adr_transition_low_touch_time_bucket,odr_high_touch_time_bucket,odr_low_touch_time_bucket,odr_transition_high_touch_time_bucket,odr_transition_low_touch_time_bucket,Instrument
0,2008-01-01,,,96.6,96.05,96.6,96.32,96.44,96.3,98.29,96.25,98.28,97.61,99.81,97.77,,,2008-01-01 20:15:00,,2008-01-02 04:40:00,2008-01-02 02:00:00,2008-01-02 04:00:00,2008-01-02 03:05:00,2008-01-02 09:30:00,,2008-01-02 09:30:00,,untouched,untouched,adr,untouched,odr,adr_transition,odr,odr,rdr,untouched,rdr,untouched,CL
1,2008-01-02,99.81,97.77,99.3,99.13,99.55,99.15,99.43,99.12,99.98,99.12,99.46,99.04,100.09,98.45,2008-01-03 03:55:00,,2008-01-02 19:40:00,2008-01-03 02:55:00,2008-01-03 03:45:00,2008-01-03 02:50:00,2008-01-03 03:30:00,2008-01-03 03:15:00,2008-01-03 11:35:00,2008-01-03 09:05:00,2008-01-03 09:30:00,2008-01-03 10:25:00,odr,untouched,adr,adr_transition,odr,adr_transition,odr,odr,rdr,odr_transition,rdr,rdr,CL
2,2008-01-03,100.09,98.45,99.34,99.13,99.41,99.2,99.35,99.18,99.35,98.5,99.29,98.27,98.53,97.1,,2008-01-04 09:05:00,2008-01-03 20:30:00,2008-01-04 03:35:00,,2008-01-04 02:40:00,2008-01-04 03:15:00,2008-01-04 03:00:00,,2008-01-04 09:05:00,,2008-01-04 09:30:00,untouched,odr_transition,adr,odr,untouched,adr_transition,odr,odr,untouched,odr_transition,untouched,rdr,CL
3,2008-01-06,98.53,97.1,97.97,97.36,97.53,97.11,97.45,97.24,97.84,97.27,98.4,97.34,97.5,94.47,,2008-01-07 09:35:00,2008-01-07 08:40:00,2008-01-06 19:55:00,2008-01-07 03:25:00,2008-01-07 09:30:00,2008-01-07 03:20:00,2008-01-07 09:30:00,2008-01-07 08:40:00,2008-01-07 09:30:00,,2008-01-07 09:30:00,untouched,rdr,odr_transition,adr,odr,rdr,odr,rdr,odr_transition,rdr,untouched,rdr,CL
4,2008-01-07,97.5,94.47,95.56,95.26,95.77,95.45,95.84,95.61,96.83,95.3,97.18,96.41,97.54,96.14,2008-01-08 11:45:00,,2008-01-07 19:30:00,,2008-01-08 02:00:00,2008-01-08 04:50:00,2008-01-08 03:15:00,2008-01-08 04:05:00,2008-01-08 09:05:00,,2008-01-08 09:30:00,2008-01-08 10:30:00,rdr,untouched,adr,untouched,adr_transition,odr,odr,odr,odr_transition,untouched,rdr,rdr,CL
5,2008-01-08,97.54,96.14,96.47,96.01,96.87,96.36,97.0,96.7,97.22,96.27,96.41,95.66,97.97,95.42,2008-01-09 11:15:00,2008-01-08 18:00:00,2008-01-08 19:30:00,2008-01-09 08:45:00,2008-01-09 02:10:00,2008-01-09 08:25:00,2008-01-09 04:10:00,2008-01-09 03:10:00,2008-01-09 11:00:00,2008-01-09 08:30:00,2008-01-09 10:50:00,2008-01-09 10:25:00,rdr,pre_adr,adr,odr_transition,adr_transition,odr,odr,odr,rdr,odr_transition,rdr,rdr,CL
6,2008-01-09,97.97,95.42,95.83,95.4,96.02,95.54,95.71,95.52,96.24,94.07,94.44,93.32,94.81,93.26,,2008-01-09 18:35:00,2008-01-09 20:05:00,2008-01-10 03:05:00,2008-01-10 03:45:00,2008-01-10 02:55:00,2008-01-10 03:30:00,2008-01-10 03:00:00,,2008-01-10 08:30:00,2008-01-10 12:20:00,2008-01-10 11:10:00,untouched,pre_adr,adr,odr,odr,adr_transition,odr,odr,untouched,odr_transition,rdr,rdr,CL
7,2008-01-10,94.81,93.26,94.33,94.13,94.62,94.18,94.44,94.2,94.65,92.78,93.9,92.88,93.74,92.31,,2008-01-11 06:35:00,2008-01-10 21:35:00,2008-01-11 04:40:00,2008-01-11 03:15:00,2008-01-11 04:35:00,2008-01-11 03:15:00,2008-01-11 03:05:00,,2008-01-11 09:35:00,,2008-01-11 09:35:00,untouched,odr,adr,odr,odr,odr,odr,odr,untouched,rdr,untouched,rdr,CL
8,2008-01-13,93.74,92.31,92.95,92.45,93.17,92.41,93.25,92.95,94.0,92.53,94.43,93.42,94.36,93.04,2008-01-14 07:45:00,,2008-01-14 00:45:00,2008-01-13 19:35:00,2008-01-14 02:00:00,,2008-01-14 03:45:00,2008-01-14 04:40:00,2008-01-14 09:10:00,,,2008-01-14 10:15:00,odr,untouched,adr,adr,adr_transition,untouched,odr,odr,odr_transition,untouched,untouched,rdr,CL
9,2008-01-14,94.36,93.04,94.35,94.14,94.38,94.02,94.13,93.87,94.36,93.52,93.84,92.15,92.42,90.98,2008-01-14 19:35:00,2008-01-15 08:55:00,2008-01-14 19:35:00,2008-01-14 20:55:00,,2008-01-15 02:40:00,2008-01-15 06:00:00,2008-01-15 03:15:00,,2008-01-15 08:40:00,,2008-01-15 09:30:00,adr,odr_transition,adr,adr,untouched,adr_transition,odr,odr,untouched,odr_transition,untouched,rdr,CL
10,2008-01-15,92.42,90.98,91.76,91.5,91.9,91.32,91.39,91.15,91.33,90.32,91.64,90.9,91.36,89.26,,2008-01-16 03:15:00,2008-01-15 19:35:00,2008-01-16 00:35:00,,2008-01-16 02:00:00,2008-01-16 08:55:00,2008-01-16 03:10:00,2008-01-16 08:55:00,2008-01-16 10:30:00,,2008-01-16 10:10:00,untouched,odr,adr,adr,untouched,adr_transition,odr_transition,odr,odr_transition,rdr,untouched,rdr,CL
