,session_date,prev_rdr_high,prev_rdr_low,pre_adr_high,pre_adr_low,adr_high,adr_low,adr_transition_high,adr_transition_low,odr_high,odr_low,odr_transition_high,odr_transition_low,rdr_high,rdr_low,prev_rdr_idr_midline,adr_idr_midline,odr_idr_midline,prev_rdr_high_touch,prev_rdr_low_touch,pre_adr_high_touch,pre_adr_low_touch,adr_high_touch,adr_low_touch,adr_transition_high_touch,adr_transition_low_touch,odr_high_touch,odr_low_touch,odr_transition_high_touch,odr_transition_low_touch,prev_rdr_idr_midline_touch,adr_idr_midline_touch,odr_idr_midline_touch,prev_rdr_high_touch_time_bucket,prev_rdr_low_touch_time_bucket,pre_adr_high_touch_time_bucket,pre_adr_low_touch_time_bucket,adr_high_touch_time_bucket,adr_low_touch_time_bucket,adr_transition_high_touch_time_bucket,adr_transition_low_touch_time_bucket,odr_high_touch_time_bucket,odr_low_touch_time_bucket,odr_transition_high_touch_time_bucket,odr_transition_low_touch_time_bucket,prev_rdr_idr_midline_touch_time_bucket,adr_idr_midline_touch_time_bucket,odr_idr_midline_touch_time_bucket,Instrument
0,2008-01-01,,,,,,,,,1482.75,1476.0,1479.75,1475.0,1480.5,1449.0,,,,,,,,,,,,,2008-01-02 09:25:00,2008-01-02 09:40:00,2008-01-02 10:00:00,,,,untouched,untouched,untouched,untouched,untouched,untouched,untouched,untouched,untouched,odr_transition,rdr,rdr,untouched,untouched,untouched,ES
1,2008-01-02,1480.5,1449.0,1461.75,1459.75,1464.0,1460.5,1463.5,1459.5,1463.0,1455.0,1463.5,1458.25,1464.75,1451.0,1473.125,1461.0,1461.0,,,2008-01-02 21:55:00,2008-01-03 02:20:00,2008-01-03 12:25:00,2008-01-03 02:20:00,2008-01-03 08:40:00,2008-01-03 03:00:00,2008-01-03 08:30:00,2008-01-03 09:50:00,2008-01-03 10:05:00,2008-01-03 09:30:00,,2008-01-03 02:20:00,2008-01-03 08:30:00,untouched,untouched,adr,adr_transition,rdr,adr_transition,odr_transition,odr,odr_transition,rdr,rdr,rdr,untouched,adr_transition,odr_transition,ES
2,2008-01-03,1464.75,1451.0,1459.5,1456.25,1463.0,1455.0,1462.75,1460.5,1463.25,1458.75,1461.75,1440.5,1443.75,1417.5,1459.25,1456.25,1461.25,,2008-01-04 08:30:00,2008-01-03 22:10:00,2008-01-03 19:45:00,2008-01-04 04:35:00,2008-01-04 08:30:00,2008-01-04 04:30:00,2008-01-04 03:00:00,,2008-01-04 08:30:00,,2008-01-04 09:30:00,2008-01-03 18:55:00,2008-01-04 08:30:00,2008-01-04 08:30:00,untouched,odr_transition,adr,adr,odr,odr_transition,odr,odr,untouched,odr_transition,untouched,rdr,pre_adr,odr_transition,odr_transition,ES
3,2008-01-06,1443.75,1417.5,1424.0,1421.0,1428.25,1422.0,1427.75,1423.5,1432.25,1421.75,1430.0,1426.25,1431.5,1410.0,1437.125,1424.875,1425.75,,2008-01-07 10:15:00,2008-01-06 19:40:00,2008-01-07 10:15:00,2008-01-07 03:05:00,2008-01-07 03:50:00,2008-01-07 03:00:00,2008-01-07 03:50:00,,2008-01-07 10:10:00,2008-01-07 12:50:00,2008-01-07 09:30:00,,2008-01-07 02:05:00,2008-01-07 09:30:00,untouched,rdr,adr,rdr,odr,odr,odr,odr,untouched,rdr,rdr,rdr,untouched,adr_transition,rdr,ES
4,2008-01-07,1431.5,1410.0,1422.75,1420.0,1426.75,1421.0,1425.25,1423.5,1434.0,1424.25,1432.0,1427.75,1437.75,1393.0,1420.75,1421.625,1426.5,2008-01-08 07:20:00,2008-01-08 15:10:00,2008-01-07 20:50:00,2008-01-08 11:45:00,2008-01-08 03:10:00,2008-01-08 11:45:00,2008-01-08 03:00:00,2008-01-08 11:30:00,2008-01-08 09:45:00,2008-01-08 11:15:00,2008-01-08 09:40:00,2008-01-08 09:35:00,2008-01-07 18:00:00,2008-01-08 11:30:00,2008-01-08 11:10:00,odr,rdr,adr,rdr,odr,rdr,odr,rdr,rdr,rdr,rdr,rdr,pre_adr,rdr,rdr,ES
5,2008-01-08,1437.75,1393.0,1398.0,1395.25,1404.5,1397.5,1406.75,1402.5,1406.75,1395.5,1400.5,1393.5,1416.5,1385.0,1432.625,1398.0,1403.25,,2008-01-09 11:45:00,2008-01-08 19:30:00,2008-01-09 08:55:00,2008-01-09 02:10:00,2008-01-09 07:20:00,2008-01-09 03:00:00,2008-01-09 03:45:00,2008-01-09 10:00:00,2008-01-09 08:55:00,2008-01-09 09:35:00,2008-01-09 11:45:00,,2008-01-09 07:20:00,2008-01-09 09:40:00,untouched,rdr,adr,odr_transition,adr_transition,odr,odr,odr,rdr,odr_transition,rdr,rdr,untouched,odr,rdr,ES
6,2008-01-09,1416.5,1385.0,1415.75,1413.25,1413.75,1407.0,1412.5,1408.0,1412.0,1405.25,1411.0,1403.0,1436.25,1401.5,1400.625,1412.5,1410.25,2008-01-10 12:15:00,,2008-01-10 10:35:00,2008-01-09 19:30:00,2008-01-10 10:20:00,2008-01-10 04:25:00,2008-01-10 10:05:00,2008-01-10 04:10:00,2008-01-10 10:05:00,2008-01-10 08:30:00,2008-01-10 10:05:00,2008-01-10 09:30:00,,2008-01-10 02:40:00,2008-01-10 08:30:00,rdr,untouched,rdr,adr,rdr,odr,rdr,odr,rdr,odr_transition,rdr,rdr,untouched,adr_transition,odr_transition,ES
7,2008-01-10,1436.25,1401.5,1423.75,1419.5,1420.5,1410.75,1415.5,1410.75,1415.5,1406.0,1416.75,1410.75,1423.5,1400.25,1408.625,1420.125,1413.875,,2008-01-11 15:10:00,,2008-01-10 19:40:00,2008-01-11 10:50:00,2008-01-11 02:00:00,2008-01-11 03:35:00,2008-01-11 06:40:00,2008-01-11 08:35:00,2008-01-11 14:55:00,2008-01-11 09:45:00,2008-01-11 10:05:00,2008-01-11 06:45:00,2008-01-11 10:50:00,2008-01-11 08:35:00,untouched,rdr,untouched,adr,rdr,adr_transition,odr,odr,odr_transition,rdr,rdr,rdr,odr,rdr,odr_transition,ES
8,2008-01-13,1423.5,1400.25,1414.0,1407.25,1414.5,1408.0,1411.0,1399.75,1418.75,1407.25,1419.0,1416.75,1424.5,1411.0,1413.75,1413.0,1410.5,2008-01-14 15:40:00,2008-01-14 02:00:00,2008-01-13 20:25:00,2008-01-14 02:00:00,2008-01-14 07:30:00,2008-01-14 02:00:00,2008-01-14 03:30:00,,2008-01-14 08:55:00,,2008-01-14 09:30:00,2008-01-14 09:35:00,2008-01-13 18:40:00,2008-01-14 03:55:00,,rdr,adr_transition,adr,adr_transition,odr,adr_transition,odr,untouched,odr_transition,untouched,rdr,rdr,pre_adr,odr,untouched,ES
9,2008-01-14,1424.5,1411.0,1422.5,1418.5,1420.25,1412.25,1415.5,1413.0,1416.75,1406.5,1408.75,1402.5,1407.75,1373.5,1415.125,1419.625,1414.375,,2008-01-15 05:00:00,,2008-01-14 21:40:00,,2008-01-15 04:40:00,2008-01-15 06:30:00,2008-01-15 03:20:00,,2008-01-15 08:30:00,,2008-01-15 10:05:00,2008-01-14 23:40:00,,,untouched,odr,untouched,adr,untouched,odr,odr,odr,untouched,odr_transition,untouched,rdr,adr,untouched,untouched,ES
