,session_date,prev_rdr_high,prev_rdr_low,pre_adr_high,pre_adr_low,adr_high,adr_low,adr_transition_high,adr_transition_low,odr_high,odr_low,odr_transition_high,odr_transition_low,rdr_high,rdr_low,prev_rdr_high_touch,prev_rdr_low_touch,pre_adr_high_touch,pre_adr_low_touch,adr_high_touch,adr_low_touch,adr_transition_high_touch,adr_transition_low_touch,odr_high_touch,odr_low_touch,odr_transition_high_touch,odr_transition_low_touch,prev_rdr_high_touch_time_bucket,prev_rdr_low_touch_time_bucket,pre_adr_high_touch_time_bucket,pre_adr_low_touch_time_bucket,adr_high_touch_time_bucket,adr_low_touch_time_bucket,adr_transition_high_touch_time_bucket,adr_transition_low_touch_time_bucket,odr_high_touch_time_bucket,odr_low_touch_time_bucket,odr_transition_high_touch_time_bucket,odr_transition_low_touch_time_bucket,Instrument
0,2008-01-01,,,,,,,8118.5,8097.5,8180.5,8107.5,8149.0,8136.0,8148.5,7972.5,,,,,,,2008-01-02 03:00:00,2008-01-02 10:05:00,,2008-01-02 10:00:00,,2008-01-02 09:35:00,untouched,untouched,untouched,untouched,untouched,untouched,odr,rdr,untouched,rdr,untouched,rdr,FDAX
1,2008-01-02,8148.5,7972.5,,,,,8044.0,8012.5,8045.0,7930.0,7999.0,7960.5,8000.0,7946.5,,2008-01-03 05:15:00,,,,,2008-01-03 03:20:00,2008-01-03 03:00:00,,,2008-01-03 12:30:00,2008-01-03 09:30:00,untouched,odr,untouched,untouched,untouched,untouched,odr,odr,untouched,untouched,rdr,rdr,FDAX
2,2008-01-03,8000.0,7946.5,,,,,7988.0,7973.0,7987.0,7936.0,7963.5,7889.5,7923.5,7836.5,,2008-01-04 07:45:00,,,,,,2008-01-04 03:00:00,,2008-01-04 08:30:00,,2008-01-04 10:25:00,untouched,odr,untouched,untouched,untouched,untouched,untouched,odr,untouched,odr_transition,untouched,rdr,FDAX
3,2008-01-06,7923.5,7836.5,,,,,7888.5,7835.0,7933.0,7856.0,7922.0,7906.0,7920.5,7850.5,2008-01-07 08:00:00,2008-01-07 02:00:00,,,,,2008-01-07 03:05:00,,,2008-01-07 10:55:00,,2008-01-07 09:35:00,odr,adr_transition,untouched,untouched,untouched,untouched,odr,untouched,untouched,rdr,untouched,rdr,FDAX
4,2008-01-07,7920.5,7850.5,,,,,7927.0,7889.0,7989.0,7911.0,7980.0,7962.5,7996.0,7821.0,2008-01-08 02:45:00,2008-01-08 15:20:00,,,,,2008-01-08 03:05:00,2008-01-08 14:50:00,2008-01-08 10:05:00,2008-01-08 11:20:00,2008-01-08 10:05:00,2008-01-08 09:35:00,adr_transition,rdr,untouched,untouched,untouched,untouched,odr,rdr,rdr,rdr,rdr,rdr,FDAX
5,2008-01-08,7996.0,7821.0,,,,,7903.5,7864.0,7906.5,7848.5,7881.5,7840.5,7902.5,7813.5,,2008-01-09 13:45:00,,,,,2008-01-09 03:20:00,2008-01-09 03:45:00,,2008-01-09 08:55:00,2008-01-09 09:45:00,2008-01-09 11:25:00,untouched,rdr,untouched,untouched,untouched,untouched,odr,odr,untouched,odr_transition,rdr,rdr,FDAX
6,2008-01-09,7902.5,7813.5,,,,,7893.0,7865.0,7899.5,7802.0,7830.5,7798.0,7857.0,7764.0,,2008-01-10 08:25:00,,,,,2008-01-10 03:10:00,2008-01-10 04:15:00,,2008-01-10 08:35:00,2008-01-10 09:50:00,2008-01-10 10:50:00,untouched,odr,untouched,untouched,untouched,untouched,odr,odr,untouched,odr_transition,rdr,rdr,FDAX
7,2008-01-10,7857.0,7764.0,,,,,7801.5,7766.0,7812.5,7742.5,7795.5,7775.5,7794.0,7721.5,,2008-01-11 06:30:00,,,,,2008-01-11 03:00:00,2008-01-11 04:15:00,,2008-01-11 15:10:00,,2008-01-11 09:35:00,untouched,odr,untouched,untouched,untouched,untouched,odr,odr,untouched,rdr,untouched,rdr,FDAX
8,2008-01-13,7794.0,7721.5,,,,,7775.0,7746.0,7826.5,7759.5,7817.0,7807.0,7822.0,7778.0,2008-01-14 03:55:00,,,,,,2008-01-14 03:00:00,,,,2008-01-14 10:15:00,2008-01-14 09:35:00,odr,untouched,untouched,untouched,untouched,untouched,odr,untouched,untouched,untouched,rdr,rdr,FDAX
9,2008-01-14,7822.0,7778.0,,,,,7783.5,7758.0,7786.0,7723.0,7754.0,7695.0,7709.5,7617.5,,2008-01-15 02:00:00,,,,,2008-01-15 03:00:00,2008-01-15 05:00:00,,2008-01-15 08:30:00,,2008-01-15 09:40:00,untouched,adr_transition,untouched,untouched,untouched,untouched,odr,odr,untouched,odr_transition,untouched,rdr,FDAX
