,session_date,prev_rdr_high,prev_rdr_low,pre_adr_high,pre_adr_low,adr_high,adr_low,adr_transition_high,adr_transition_low,odr_high,odr_low,odr_transition_high,odr_transition_low,rdr_high,rdr_low,prev_rdr_idr_midline,adr_idr_midline,odr_idr_midline,prev_rdr_high_touch,prev_rdr_low_touch,pre_adr_high_touch,pre_adr_low_touch,adr_high_touch,adr_low_touch,adr_transition_high_touch,adr_transition_low_touch,odr_high_touch,odr_low_touch,odr_transition_high_touch,odr_transition_low_touch,prev_rdr_idr_midline_touch,adr_idr_midline_touch,odr_idr_midline_touch,prev_rdr_high_touch_time_bucket,prev_rdr_low_touch_time_bucket,pre_adr_high_touch_time_bucket,pre_adr_low_touch_time_bucket,adr_high_touch_time_bucket,adr_low_touch_time_bucket,adr_transition_high_touch_time_bucket,adr_transition_low_touch_time_bucket,odr_high_touch_time_bucket,odr_low_touch_time_bucket,odr_transition_high_touch_time_bucket,odr_transition_low_touch_time_bucket,prev_rdr_idr_midline_touch_time_bucket,adr_idr_midline_touch_time_bucket,odr_idr_midline_touch_time_bucket,Instrument
0,2008-01-01,,,3.12,3.0355,3.103,3.069,3.0765,3.065,3.0805,3.041,3.088,3.054,3.078,3.04,,3.0862499999999997,3.0692500000000003,,,,,,2008-01-02 02:20:00,2008-01-02 03:40:00,2008-01-02 03:55:00,2008-01-02 09:05:00,2008-01-02 12:25:00,,2008-01-02 10:05:00,,2008-01-02 09:05:00,2008-01-02 08:50:00,untouched,untouched,untouched,untouched,untouched,adr_transition,odr,odr,odr_transition,rdr,untouched,rdr,untouched,odr_transition,odr_transition,HG
1,2008-01-02,3.078,3.04,3.076,3.062,3.0965,3.055,3.104,3.082,3.12,3.075,3.108,3.093,3.19,3.0965,3.0629999999999997,3.0655,3.0949999999999998,2008-01-02 22:30:00,,2008-01-02 22:30:00,2008-01-02 19:40:00,2008-01-03 02:30:00,,2008-01-03 08:10:00,2008-01-03 06:25:00,2008-01-03 10:05:00,,2008-01-03 10:00:00,,2008-01-02 18:20:00,,2008-01-03 08:35:00,adr,untouched,adr,adr,adr_transition,untouched,odr,odr,rdr,untouched,rdr,untouched,pre_adr,untouched,odr_transition,HG
2,2008-01-03,3.19,3.0965,3.182,3.172,3.235,3.18,3.23,3.208,3.235,3.18,3.232,3.1625,3.1775,3.105,3.10975,3.1887499999999998,3.2102500000000003,2008-01-03 20:00:00,,2008-01-03 20:00:00,2008-01-04 09:10:00,2008-01-04 08:10:00,2008-01-04 05:55:00,2008-01-04 08:10:00,2008-01-04 03:00:00,,2008-01-04 09:05:00,,2008-01-04 09:35:00,2008-01-04 11:30:00,2008-01-04 04:40:00,2008-01-04 08:30:00,adr,untouched,adr,odr_transition,odr,odr,odr,odr,untouched,odr_transition,untouched,rdr,rdr,odr,odr_transition,HG
3,2008-01-06,3.1775,3.105,3.131,3.121,3.189,3.12,3.169,3.1535,3.164,3.1325,3.158,3.1325,3.147,3.106,3.15425,3.143,3.1565000000000003,2008-01-06 20:10:00,,2008-01-06 19:55:00,2008-01-06 19:45:00,,2008-01-07 10:30:00,,2008-01-07 03:20:00,,2008-01-07 08:30:00,,2008-01-07 10:10:00,2008-01-06 20:00:00,2008-01-07 04:00:00,2008-01-07 09:00:00,adr,untouched,adr,adr,untouched,rdr,untouched,odr,untouched,odr_transition,untouched,rdr,adr,odr,odr_transition,HG
4,2008-01-07,3.147,3.106,3.1395,3.13,3.175,3.138,3.175,3.16,3.249,3.1535,3.275,3.236,3.32,3.236,3.13775,3.1494999999999997,3.1705,2008-01-07 20:00:00,,2008-01-07 20:00:00,,2008-01-08 02:35:00,,2008-01-08 03:25:00,2008-01-08 03:05:00,2008-01-08 08:35:00,,2008-01-08 11:25:00,2008-01-08 10:20:00,,,,adr,untouched,adr,untouched,adr_transition,untouched,odr,odr,odr_transition,untouched,rdr,rdr,untouched,untouched,untouched,HG
5,2008-01-08,3.32,3.236,3.2815,3.259,3.33,3.28,3.335,3.3115,3.3785,3.2885,3.298,3.271,3.305,3.259,3.247,3.295,3.318,2008-01-09 01:30:00,,2008-01-08 19:30:00,2008-01-09 10:35:00,2008-01-09 02:25:00,2008-01-09 08:35:00,2008-01-09 04:00:00,2008-01-09 03:00:00,,2008-01-09 08:30:00,2008-01-09 09:45:00,2008-01-09 10:15:00,,2008-01-09 08:20:00,,adr,untouched,adr,rdr,adr_transition,odr_transition,odr,odr,untouched,odr_transition,rdr,rdr,untouched,odr,untouched,HG
6,2008-01-09,3.305,3.259,3.3065,3.2925,3.3025,3.246,3.281,3.259,3.2915,3.226,3.2455,3.215,3.288,3.2225,3.2824999999999998,3.2904999999999998,3.2699999999999996,2008-01-09 18:10:00,2008-01-10 00:40:00,,2008-01-09 20:00:00,,2008-01-10 07:25:00,2008-01-10 03:40:00,2008-01-10 03:15:00,,2008-01-10 08:35:00,2008-01-10 09:50:00,,2008-01-09 20:50:00,2008-01-10 04:10:00,2008-01-10 11:25:00,pre_adr,adr,untouched,adr,untouched,odr,odr,odr,untouched,odr_transition,rdr,untouched,adr,odr,rdr,HG
7,2008-01-10,3.288,3.2225,3.281,3.2705,3.316,3.264,3.327,3.3015,3.315,3.2535,3.2805,3.253,3.31,3.2605,3.247,3.28475,3.30075,2008-01-10 20:00:00,,2008-01-10 19:55:00,2008-01-11 00:10:00,2008-01-11 02:25:00,2008-01-11 07:50:00,,2008-01-11 03:10:00,,2008-01-11 08:35:00,2008-01-11 09:30:00,,,2008-01-11 04:40:00,2008-01-11 11:50:00,adr,untouched,adr,adr,adr_transition,odr,untouched,odr,untouched,odr_transition,rdr,untouched,untouched,odr,rdr,HG
8,2008-01-13,3.31,3.2605,3.325,3.3,3.3345,3.304,3.33,3.3155,3.3545,3.313,3.332,3.305,3.36,3.311,3.2800000000000002,3.31325,3.3287500000000003,2008-01-13 18:00:00,,2008-01-14 00:40:00,,2008-01-14 03:20:00,,2008-01-14 03:00:00,2008-01-14 08:10:00,2008-01-14 11:25:00,2008-01-14 08:45:00,2008-01-14 10:50:00,,,2008-01-14 08:10:00,2008-01-14 08:35:00,pre_adr,untouched,adr,untouched,odr,untouched,odr,odr,rdr,odr_transition,rdr,untouched,untouched,odr,odr_transition,HG
9,2008-01-14,3.36,3.311,3.347,3.3375,3.36,3.2905,3.312,3.2955,3.32,3.2725,3.2985,3.268,3.294,3.22,3.3175,3.34375,3.311,2008-01-14 20:55:00,2008-01-15 01:10:00,2008-01-14 19:50:00,2008-01-14 19:55:00,,2008-01-15 04:15:00,2008-01-15 03:15:00,2008-01-15 04:15:00,,2008-01-15 09:00:00,,2008-01-15 10:15:00,2008-01-15 00:35:00,,,adr,adr,adr,adr,untouched,odr,odr,odr,untouched,odr_transition,untouched,rdr,adr,untouched,untouched,HG
