,session_date,prev_rdr_high,prev_rdr_low,pre_adr_high,pre_adr_low,adr_high,adr_low,adr_transition_high,adr_transition_low,odr_high,odr_low,odr_transition_high,odr_transition_low,rdr_high,rdr_low,prev_rdr_idr_midline,adr_idr_midline,odr_idr_midline,prev_rdr_high_touch,prev_rdr_low_touch,pre_adr_high_touch,pre_adr_low_touch,adr_high_touch,adr_low_touch,adr_transition_high_touch,adr_transition_low_touch,odr_high_touch,odr_low_touch,odr_transition_high_touch,odr_transition_low_touch,prev_rdr_idr_midline_touch,adr_idr_midline_touch,odr_idr_midline_touch,prev_rdr_high_touch_time_bucket,prev_rdr_low_touch_time_bucket,pre_adr_high_touch_time_bucket,pre_adr_low_touch_time_bucket,adr_high_touch_time_bucket,adr_low_touch_time_bucket,adr_transition_high_touch_time_bucket,adr_transition_low_touch_time_bucket,odr_high_touch_time_bucket,odr_low_touch_time_bucket,odr_transition_high_touch_time_bucket,odr_transition_low_touch_time_bucket,prev_rdr_idr_midline_touch_time_bucket,adr_idr_midline_touch_time_bucket,odr_idr_midline_touch_time_bucket,Instrument
0,2008-01-01,,,14.975,14.91,15.01,14.92,15.01,14.955,15.125,14.975,15.145,15.065,15.415,15.095,,14.99,15.0075,,,2008-01-01 19:35:00,,2008-01-02 02:35:00,,2008-01-02 03:25:00,,2008-01-02 08:50:00,,2008-01-02 10:05:00,,,2008-01-02 02:25:00,,untouched,untouched,adr,untouched,adr_transition,untouched,odr,untouched,odr_transition,untouched,rdr,untouched,untouched,adr_transition,untouched,SI
1,2008-01-02,15.415,15.095,15.38,15.33,15.375,15.265,15.4,15.31,15.535,15.26,15.34,15.165,15.535,15.245,15.1475,15.29,15.364999999999998,2008-01-03 03:25:00,,2008-01-03 02:00:00,2008-01-02 19:30:00,2008-01-03 02:00:00,2008-01-03 08:15:00,2008-01-03 03:20:00,2008-01-03 03:00:00,2008-01-03 11:45:00,2008-01-03 08:35:00,2008-01-03 09:55:00,,,2008-01-03 03:05:00,2008-01-03 10:30:00,odr,untouched,adr_transition,adr,adr_transition,odr,odr,odr,rdr,odr_transition,rdr,untouched,untouched,odr,rdr,SI
2,2008-01-03,15.535,15.245,15.54,15.45,15.525,15.44,15.495,15.4,15.45,15.31,15.57,15.355,15.49,15.24,15.295,15.502500000000001,15.3825,2008-01-03 19:20:00,2008-01-04 10:00:00,2008-01-04 08:30:00,2008-01-03 22:30:00,2008-01-04 08:30:00,2008-01-04 02:35:00,2008-01-04 08:30:00,2008-01-04 03:00:00,2008-01-04 08:30:00,2008-01-04 09:50:00,,2008-01-04 09:40:00,2008-01-04 09:50:00,2008-01-04 08:30:00,2008-01-04 09:00:00,pre_adr,rdr,odr_transition,adr,odr_transition,adr_transition,odr_transition,odr,odr_transition,rdr,untouched,rdr,rdr,odr_transition,odr_transition,SI
3,2008-01-06,15.49,15.24,15.455,15.32,15.415,15.29,15.345,15.275,15.48,15.27,15.465,15.4,15.43,15.2,15.34,15.3775,15.3025,,2008-01-07 10:45:00,2008-01-07 08:15:00,2008-01-06 20:30:00,2008-01-07 06:35:00,2008-01-07 02:10:00,2008-01-07 04:10:00,2008-01-07 03:00:00,,2008-01-07 10:25:00,,2008-01-07 09:45:00,2008-01-06 18:00:00,2008-01-07 06:10:00,2008-01-07 10:25:00,untouched,rdr,odr,adr,odr,adr_transition,odr,odr,untouched,rdr,untouched,rdr,pre_adr,odr,rdr,SI
4,2008-01-07,15.43,15.2,15.285,15.255,15.395,15.27,15.435,15.355,15.64,15.39,15.605,15.525,15.845,15.545,15.3625,15.309999999999999,15.46,2008-01-08 02:50:00,,2008-01-07 19:30:00,,2008-01-08 02:45:00,,2008-01-08 03:10:00,,2008-01-08 09:45:00,,2008-01-08 09:35:00,,2008-01-07 23:30:00,,,adr_transition,untouched,adr,untouched,adr_transition,untouched,odr,untouched,rdr,untouched,rdr,untouched,adr,untouched,untouched,SI
5,2008-01-08,15.845,15.545,15.91,15.78,16.02,15.87,16.1,15.99,16.27,15.775,15.82,15.645,15.95,15.66,15.61,15.935,16.045,2008-01-08 18:55:00,,2008-01-08 19:35:00,2008-01-09 08:25:00,2008-01-09 02:15:00,2008-01-09 08:10:00,2008-01-09 04:55:00,2008-01-09 03:00:00,,2008-01-09 08:30:00,2008-01-09 10:55:00,,,2008-01-09 07:55:00,,pre_adr,untouched,adr,odr,adr_transition,odr,odr,odr,untouched,odr_transition,rdr,untouched,untouched,odr,untouched,SI
6,2008-01-09,15.95,15.66,15.88,15.76,15.875,15.75,15.785,15.605,15.78,15.415,15.725,15.53,16.355,15.675,15.735,15.8375,15.6775,2008-01-10 11:55:00,2008-01-10 02:40:00,2008-01-10 09:50:00,2008-01-10 00:10:00,2008-01-10 09:50:00,2008-01-10 02:10:00,2008-01-10 09:40:00,2008-01-10 05:15:00,2008-01-10 09:40:00,,2008-01-10 09:30:00,,2008-01-10 02:10:00,2008-01-10 09:50:00,2008-01-10 09:20:00,rdr,adr_transition,rdr,adr,rdr,adr_transition,rdr,odr,rdr,untouched,rdr,untouched,adr_transition,rdr,odr_transition,SI
7,2008-01-10,16.355,15.675,16.345,16.22,16.31,16.2,16.275,16.155,16.415,16.055,16.29,16.105,16.405,16.05,15.7725,16.240000000000002,16.325000000000003,2008-01-11 03:15:00,,2008-01-11 03:15:00,2008-01-10 19:35:00,2008-01-11 03:10:00,2008-01-11 02:05:00,2008-01-11 03:00:00,2008-01-11 07:05:00,,2008-01-11 09:35:00,2008-01-11 10:20:00,2008-01-11 09:30:00,,2008-01-11 02:05:00,2008-01-11 10:35:00,odr,untouched,odr,adr,odr,adr_transition,odr,odr,untouched,rdr,rdr,rdr,untouched,adr_transition,rdr,SI
8,2008-01-13,16.405,16.05,16.4,16.32,16.45,16.25,16.65,16.445,16.715,16.405,16.48,16.315,16.67,16.3,16.1825,16.3925,16.560000000000002,2008-01-13 20:05:00,,2008-01-13 20:05:00,2008-01-13 21:05:00,2008-01-14 02:00:00,,2008-01-14 04:00:00,2008-01-14 08:25:00,,2008-01-14 08:40:00,2008-01-14 10:30:00,2008-01-14 09:35:00,,2008-01-14 08:40:00,2008-01-14 10:40:00,adr,untouched,adr,adr,adr_transition,untouched,odr,odr,untouched,odr_transition,rdr,rdr,untouched,odr_transition,rdr,SI
9,2008-01-14,16.67,16.3,16.53,16.44,16.64,16.51,16.58,16.49,16.57,16.255,16.49,16.355,16.575,15.24,16.380000000000003,16.5375,16.509999999999998,,2008-01-15 07:20:00,2008-01-14 19:30:00,2008-01-15 03:05:00,,2008-01-15 02:55:00,,2008-01-15 03:00:00,2008-01-15 10:05:00,2008-01-15 12:00:00,2008-01-15 09:50:00,2008-01-15 11:25:00,2008-01-15 06:55:00,2008-01-15 02:35:00,2008-01-15 09:50:00,untouched,odr,adr,odr,untouched,adr_transition,untouched,odr,rdr,rdr,rdr,rdr,odr,adr_transition,rdr,SI
